[0211/163019.461:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0211/171546.489:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175729.100:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175734.112:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175739.123:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175744.137:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175749.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175754.181:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175759.213:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175804.234:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175809.257:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175814.280:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175819.297:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175824.315:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175829.327:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/175834.350:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0211/181025.547:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
